countrycode,cty_or_agg,year,PRIM,PRIM_BMP,PRIM_BMP_FE,PRIM_BMP_MA,PRIM_FE,PRIM_MA,PRIM_OOS,PRIM_OOS_FE,PRIM_OOS_MA,gdp
AFG,cty,2013,93,87,0,0,0,0,50,0,0,20561054090
ARE,cty,2011,39,36,30,42,33,46,5,5,6,3.50666E+14
ARE,cty,2016,34,32,26,38,29,40,3,4,2,3.57045E+14
ARG,cty,2006,56,55,53,58,53,58,1,1,0,2.32557E+14
ARG,cty,2013,54,54,49,59,50,59,1,1,0,5.52025E+14
ARM,cty,2003,44,34,33,36,42,46,14,14,15,2807061009
ARM,cty,2007,26,23,21,26,22,29,3,2,4,9206301700
ARM,cty,2015,35,30,27,33,32,38,7,7,8,10553337673
ARM,cty,2011,45,42,41,43,44,46,5,4,5,10142111334
AUS,cty,2016,9,6,4,7,6,11,3,3,4,1.21003E+12
AUS,cty,2011,9,7,5,9,7,11,2,2,3,1.39665E+12
AUT,cty,2011,3,3,2,3,3,3,0,1,0,4.3112E+11
AUT,cty,2006,2,2,2,3,2,3,0,0,0,3.35999E+14
AUT,cty,2016,2,2,2,3,2,3,0,0,0,3.94053E+14
AZE,cty,2011,29,18,16,20,28,29,13,14,12,65951627200
AZE,cty,2016,23,19,16,22,21,25,5,6,4,37867518957
BDI,cty,2014,93,93,91,94,91,94,3,2,4,2705783272
BEL,cty,2011,8,6,6,7,8,9,2,2,3,5.27008E+14
BEL,cty,2016,6,5,4,6,5,8,1,1,1,4.69677E+14
BEL,cty,2006,7,4,3,4,7,8,4,4,4,4.09813E+14
BEN,cty,2014,78,77,0,0,0,0,4,0,0,9707432016
BFA,cty,2014,85,79,80,77,86,84,32,33,30,12377391463
BGD,cty,2017,58,56,0,0,0,0,5,0,0,2.49724E+14
BGD,cty,2015,57,55,0,0,0,0,5,0,0,1.95079E+11
BGR,cty,2001,8,5,3,7,7,9,3,4,2,27
BGR,cty,2011,7,7,6,8,6,9,0,0,1,57418414504
BGR,cty,2006,8,5,4,7,7,10,3,4,3,34130122491
BGR,cty,2016,12,5,4,6,11,12,7,7,7,53240950226
BHR,cty,2016,32,31,21,40,22,42,2,1,3,32250132979
BLZ,cty,2001,76,75,71,78,73,80,6,7,6,123
BRA,cty,2006,52,50,46,54,48,56,4,3,5,1.10764E+12
BRA,cty,2013,48,47,46,48,47,50,3,2,3,2.47281E+12
BWA,cty,2011,48,44,37,52,42,55,7,7,8,15351972230
CAN,cty,2001,3,3,2,4,2,4,0,0,0,114
CAN,cty,2016,4,4,4,5,4,5,0,0,0,1.52671E+12
CAN,cty,2011,3,2,2,3,2,3,1,1,1,1.78914E+12
CHL,cty,2013,37,30,27,33,34,39,9,9,9,2.78384E+14
CHL,cty,2006,41,38,37,39,40,42,5,5,4,1.54788E+14
CHN,cty,2016,18,18,0,0,0,0,0,0,0,1.11379E+13
CIV,cty,2014,82,78,0,0,0,0,21,0,0,3.53165E+13
CMR,cty,2014,77,76,73,78,76,79,5,10,0,34942948737
COD,cty,2011,86,62,0,0,0,0,63,0,0,25839749199
COG,cty,2014,85,83,82,84,84,86,13,9,16,14177437982
COL,cty,2006,54,52,53,51,54,53,4,3,4,1.6119E+14
COL,cty,2013,49,45,43,46,47,50,7,7,7,3.81867E+11
COM,cty,2008,86,82,0,0,0,0,21,0,0,911967428.7
CRI,cty,2006,29,29,29,29,30,30,1,1,1,22602721765
CRI,cty,2013,32,32,30,33,31,34,1,1,1,49745084870
CYP,cty,2015,16,14,14,15,15,17,2,2,2,19680625485
CYP,cty,2003,15,14,15,14,16,15,1,1,2,14547327293
CZE,cty,2001,3,3,2,3,2,3,0,0,0,109
CZE,cty,2016,3,3,2,4,2,4,0,0,0,1.9509E+14
CZE,cty,2011,2,2,1,2,1,2,0,0,0,2.27948E+14
DEU,cty,2006,3,3,2,3,2,3,0,0,0,3.00245E+12
DEU,cty,2016,6,5,4,7,5,7,0,0,0,3.49516E+12
DEU,cty,2001,3,3,3,3,3,3,0,0,0,46
DEU,cty,2011,3,2,2,3,2,3,0,0,0,3.7577E+12
DNK,cty,2011,4,1,1,2,3,4,2,2,3,3.44003E+14
DNK,cty,2016,4,3,2,3,3,4,1,1,1,3.11988E+14
DNK,cty,2006,7,3,3,4,5,8,3,3,4,2.82885E+14
DOM,cty,2006,91,89,88,91,90,93,16,14,17,38116351526
DOM,cty,2013,81,79,78,81,80,82,7,7,6,62661773592
DZA,cty,2007,68,67,65,68,66,69,4,5,3,1.34977E+14
EAP,agg,2015,21,21,27,36,28,39,1,0,1,1.32234E+13
EAS,agg,2015,20,19,20,27,21,30,1,0,1,2.17478E+13
ECA,agg,2015,14,11,9,10,12,13,4,4,4,3.08869E+12
ECS,agg,2015,9,7,5,7,7,9,2,2,2,2.04187E+13
ECU,cty,2013,63,62,62,62,62,63,2,1,3,95129659000
ECU,cty,2006,78,78,76,79,77,79,1,1,1,46802044000
EGY,cty,2016,70,69,65,74,65,74,1,1,2,3.32928E+14
ESP,cty,2016,5,3,2,4,4,6,1,1,2,1.2375E+12
ESP,cty,2006,7,6,6,7,7,7,0,0,0,1.26455E+12
ESP,cty,2011,6,6,5,7,5,8,0,0,0,1.48807E+12
ETH,cty,2015,90,89,0,0,0,0,14,0,0,64464547915
FIN,cty,2016,3,2,1,2,2,3,1,1,1,2.3901E+14
FIN,cty,2011,2,1,1,1,2,2,1,1,1,2.73674E+14
FRA,cty,2006,5,4,3,5,4,6,1,1,1,2.31859E+12
FRA,cty,2016,7,6,5,7,6,8,1,1,1,2.47129E+12
FRA,cty,2001,8,5,3,6,7,10,4,4,4,26
FRA,cty,2011,6,5,5,5,5,6,1,1,1,2.86141E+12
GAB,cty,2006,37,31,0,0,0,0,9,0,0,10318424464
GBR,cty,2006,7,7,6,8,6,8,0,0,1,2.69715E+12
GBR,cty,2016,3,3,3,4,3,4,0,0,0,2.65924E+12
GBR,cty,2011,5,3,3,4,4,5,2,2,2,2.6349E+12
GEO,cty,2011,17,14,10,17,13,20,4,3,4,14434568633
GEO,cty,2016,14,14,10,17,11,17,0,0,0,14378036929
GEO,cty,2006,28,18,15,21,24,31,12,12,13,7745394293
GRC,cty,2001,11,5,3,8,8,13,5,5,5,25
GTM,cty,2013,67,64,65,63,68,67,10,10,10,53851148432
GTM,cty,2006,81,79,79,79,81,80,6,7,5,30231249362
HIC,agg,2015,9,6,5,8,7,8,2,2,2,4.78506E+13
HKG,cty,2006,2,1,0,1,2,2,1,1,0,1.93536E+14
HKG,cty,2016,3,1,1,2,3,3,2,3,1,3.20861E+14
HKG,cty,2001,10,3,2,5,9,12,7,7,8,36
HKG,cty,2011,1,1,0,1,1,1,1,1,0,2.48514E+14
HND,cty,2013,75,69,67,71,73,76,17,17,18,18372173611
HRV,cty,2011,4,1,1,1,2,6,3,2,4,62399478246
HUN,cty,2006,6,3,2,3,5,6,3,3,3,1.15295E+14
HUN,cty,2011,9,5,4,6,7,10,3,3,4,1.40782E+14
HUN,cty,2016,6,3,2,3,5,7,3,3,3,1.26008E+11
HUN,cty,2001,5,2,1,3,4,7,3,3,3,97
IBD,agg,2015,40,39,37,44,39,46,2,1,2,2.58613E+13
IDB,agg,2015,75,67,74,79,77,80,24,30,19,1.02495E+12
IDN,cty,2011,35,34,29,39,29,41,2,0,5,8.92969E+14
IDN,cty,2006,49,46,41,51,45,53,6,7,4,3.64571E+11
IDX,agg,2015,81,76,84,85,89,89,23,22,20,1.07282E+12
IND,cty,2017,55,54,0,0,0,0,2,0,0,2.65255E+12
IRL,cty,2016,2,2,2,3,2,3,0,0,0,3.00523E+11
IRL,cty,2011,6,3,2,4,5,6,2,3,2,2.37472E+11
IRN,cty,2006,41,40,38,42,38,43,1,1,1,2.66299E+14
IRN,cty,2016,36,35,25,44,26,44,1,1,1,4.18977E+14
IRN,cty,2001,52,44,38,51,48,58,15,17,14,18
IRN,cty,2011,24,24,20,28,20,28,0,0,0,5.835E+14
ISL,cty,2001,9,8,5,10,6,11,1,1,1,119
ISL,cty,2006,9,7,4,9,7,11,3,3,2,17216417442
ISR,cty,2006,17,15,13,16,15,19,3,2,3,1.53983E+14
ISR,cty,2011,10,7,6,8,8,11,3,3,3,2.61717E+14
ISR,cty,2001,15,13,11,16,12,18,2,2,2,22
ISR,cty,2016,12,9,7,11,9,14,3,2,3,3.19378E+14
ITA,cty,2001,4,3,3,4,4,4,0,0,0,9
ITA,cty,2011,3,2,2,3,3,3,1,2,1,2.27629E+12
ITA,cty,2016,3,2,1,3,3,4,1,2,1,1.8692E+12
ITA,cty,2006,3,2,1,2,3,2,1,1,0,1.94263E+12
JOR,cty,2015,52,50,47,53,48,55,4,3,5,37968970381
JPN,cty,2007,4,3,2,3,3,5,1,1,2,4.51526E+12
JPN,cty,2011,3,1,1,2,2,3,1,1,2,6.15746E+12
JPN,cty,2003,4,4,3,4,3,4,0,0,0,4.44566E+12
JPN,cty,2015,2,1,1,1,2,3,1,1,1,4.38948E+12
KAZ,cty,2016,2,2,2,2,2,3,0,0,0,1.37278E+14
KGZ,cty,2014,64,64,0,0,0,0,2,0,0,7468096567
KHM,cty,2013,51,50,0,0,0,0,3,0,0,15227991395
KOR,cty,2015,3,0,0,0,3,3,3,2,3,1.38276E+12
KOR,cty,2011,2,1,1,1,1,2,1,1,1,1.20246E+12
KWT,cty,2006,74,72,63,81,65,83,8,5,10,1.01551E+14
KWT,cty,2016,51,49,43,56,44,58,3,1,5,1.0942E+11
KWT,cty,2001,54,49,39,59,41,65,9,4,14,75
LAC,agg,2015,51,50,48,52,49,53,3,3,4,4.99701E+12
LCN,agg,2015,51,49,47,51,49,53,4,3,4,5.51774E+12
LIC,agg,2015,90,83,90,90,93,93,29,30,25,5.17633E+11
LKA,cty,2015,15,14,0,0,0,0,1,0,0,80604080689
LMC,agg,2015,55,53,48,56,47,56,6,5,6,5.78435E+12
LTU,cty,2001,4,2,1,3,3,5,2,2,2,13
LTU,cty,2006,2,1,1,2,2,3,1,1,1,30216060233
LTU,cty,2011,4,3,3,4,3,5,1,1,1,4.34769E+13
LTU,cty,2016,3,3,2,3,2,4,0,0,0,42973365745
LUX,cty,2006,3,1,1,2,2,4,2,1,2,42414308117
LVA,cty,2001,6,1,1,2,6,6,4,5,4,121
LVA,cty,2006,3,2,1,3,2,4,1,1,2,21447021570
LVA,cty,2016,4,1,1,1,3,5,3,3,4,2.76955E+13
MAC,cty,2016,4,2,2,3,3,4,1,1,2,45322259884
MAR,cty,2001,73,67,64,69,72,74,20,23,17,82
MAR,cty,2006,77,74,72,77,76,79,12,14,10,68640825481
MAR,cty,2011,80,79,75,82,77,83,7,7,6,1.0137E+14
MAR,cty,2016,66,64,59,68,61,70,5,6,5,1.03345E+14
MDA,cty,2001,17,12,0,0,0,0,7,0,0,28
MDA,cty,2006,11,9,0,0,0,0,2,0,0,3408272498
MDG,cty,2015,97,96,0,0,0,0,22,0,0,9744243531
MEA,agg,2015,59,58,52,63,56,66,4,5,4,3.14622E+12
MEX,cty,2006,48,46,43,49,44,51,3,3,3,9.75387E+14
MEX,cty,2013,43,42,40,45,40,46,1,0,2,1.27444E+12
MKD,cty,2001,37,33,30,36,34,39,5,6,5,76
MKD,cty,2006,40,34,30,38,37,43,8,9,7,6861222332
MLI,cty,2012,91,87,0,0,0,0,33,0,0,12442747897
MLT,cty,2011,23,22,19,25,19,27,2,1,3,9500669015
MLT,cty,2016,29,27,0,0,0,0,2,0,0,11442612409
MNA,agg,2015,63,62,57,67,58,68,4,5,4,1.44162E+12
MNG,cty,2007,39,38,37,39,38,41,2,2,2,4234999823
MRT,cty,2004,95,93,0,0,0,0,28,0,0,1833444740
MUS,cty,2006,40,38,0,0,0,0,4,0,0,7028803366
MYS,cty,2017,13,12,0,0,0,0,1,0,0,3.14707E+14
NAC,agg,2015,8,4,3,5,7,8,4,4,4,1.97781E+13
NER,cty,2014,99,98,98,98,99,99,39,44,34,8229731384
NIC,cty,2006,74,74,73,74,74,75,2,1,3,6763671611
NIC,cty,2013,70,69,65,73,65,74,2,0,3,10982972256
